日期,渠道,H5id,全部客户,偷子,临时客户,加微客户,加微率,填写问卷人数,填写问卷率,导学课到课人数,导学课到课率,导学课完课人数,导学课完课率,转化人数,正价转化率,GMV,结算cac,ROI
,,汇总,107,,41,66,0.62 ,65,0.61 ,45,0.42 ,38,0.36 ,0,0.00 ,0,,
,SDK聚合,176,3,,0,3,1.00 ,1,0.33 ,2,0.67 ,2,0.67 ,0,0.00 ,0,,
,,汇总,3,,0,3,1.00 ,1,0.33 ,2,0.67 ,2,0.67 ,0,0.00 ,0,,
,私域,69-太极养生,188,,72,116,0.62 ,91,0.48 ,54,0.29 ,44,0.23 ,0,0.00 ,0,,
,,70-太极养生,200,,50,150,0.75 ,136,0.68 ,67,0.34 ,41,0.21 ,1,0.01 ,1980,,
,,汇总,388,,122,266,0.69 ,227,0.59 ,121,0.31 ,85,0.22 ,1,0.00 ,1980,,
6.22-6.30,花骡直播,192,72,,19,53,0.74 ,48,0.67 ,29,0.40 ,18,0.25 ,6,0.08 ,11880,,
,,222,1,,0,1,1.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,,
,,223,199,,2,197,0.99 ,102,0.51 ,66,0.33 ,46,0.23 ,4,0.02 ,7920,,
,,汇总,272,,21,251,0.92 ,150,0.55 ,95,0.35 ,64,0.24 ,10,0.04 ,19800,,
,TMK短信,309-衢州耀晨,57,,27,30,0.53 ,52,0.91 ,34,0.60 ,29,0.51 ,0,0.00 ,0,,
,,323-杭州乐喻,41,,11,30,0.73 ,17,0.41 ,9,0.22 ,6,0.15 ,0,0.00 ,0,,
,,328-衢州耀晨,8,,1,7,0.88 ,2,0.25 ,0,0.00 ,0,0.00 ,0,0.00 ,0,,
,,330-衢州耀晨,6,,3,3,0.50 ,5,0.83 ,0,0.00 ,0,0.00 ,0,0.00 ,0,,
,,380-祥峰丰-短信,265,,61,204,0.77 ,129,0.49 ,128,0.48 ,107,0.40 ,4,0.02 ,6933,,
,,汇总,377,,103,274,0.73 ,205,0.54 ,171,0.45 ,142,0.38 ,4,0.01 ,6933,,
,SDK聚合,176,17,,0,17,1.00 ,9,0.53 ,7,0.41 ,3,0.18 ,0,0.00 ,0,,
,,汇总,17,,0,17,1.00 ,9,0.53 ,7,0.41 ,3,0.18 ,0,0.00 ,0,,
,私域,69-太极养生,110,,53,57,0.52 ,71,0.65 ,42,0.38 ,28,0.25 ,0,0.00 ,0,,
,,70-太极养生,139,,49,90,0.65 ,91,0.65 ,39,0.28 ,24,0.17 ,0,0.00 ,0,,
,,汇总,249,0,102,147,0.59 ,162,0.65 ,81,0.33 ,52,0.21 ,0,0.00 ,0,,
7.1-7.7,花骡直播,192,61,,6,55,0.90 ,45,0.74 ,22,0.36 ,17,0.28 ,3,0.05 ,5940,,
,,222,10,,0,10,1.00 ,7,0.70 ,6,0.60 ,5,0.50 ,0,0.00 ,,,
,,223,33,,0,33,1.00 ,20,0.61 ,19,0.58 ,14,0.42 ,1,0.03 ,1980,,
,,汇总,104,,6,98,0.94 ,72,0.69 ,47,0.45 ,36,0.35 ,4,0.04 ,7920,,
,TMK短信,309-衢州耀晨,45,,6,39,0.87 ,43,0.96 ,35,0.78 ,32,0.71 ,0,0.00 ,0,,
,,323-杭州乐喻,66,,10,56,0.85 ,36,0.55 ,15,0.23 ,12,0.18 ,0,0.00 ,0,,
,,328-衢州耀晨,1,,0,1,1.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,,
,,330-衢州耀晨,1,,0,1,1.00 ,1,1.00 ,1,1.00 ,1,1.00 ,0,0.00 ,0,,
,,380-祥峰丰-短信,14,,3,11,0.79 ,1,0.07 ,5,0.36 ,5,0.36 ,0,0.00 ,0,,
,,492-品动-TMK,106,,0,106,1.00 ,29,0.27 ,24,0.23 ,20,0.19 ,0,0.00 ,0,,
,,495-品动-TMK,112,,1,111,0.99 ,28,0.25 ,32,0.29 ,21,0.19 ,0,0.00 ,0,,
,,汇总,345,0,20,325,0.94 ,138,0.40 ,112,0.32 ,91,0.26 ,0,0.00 ,0,,
,SDK聚合,176,13,,0,13,1.00 ,5,0.38 ,4,0.31 ,3,0.23 ,0,0.00 ,,,
,,汇总,13,0,0,13,1.00 ,5,0.38 ,3,0.23 ,0,0.00 ,0,0.00 ,#REF!,,
,私域,69-太极养生,98,,20,78,0.80 ,63,0.64 ,36,0.37 ,27,0.28 ,1,0.01 ,1980,,
,,70-太极养生,75,,8,67,0.89 ,53,0.71 ,28,0.37 ,21,0.28 ,0,0.00 ,0,,
,,汇总,173,0,28,145,0.84 ,116,0.67 ,64,0.37 ,48,0.28 ,1,0.01 ,0,,
7.8-7.14,花骡直播,162,1,,0,1,1.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,,
,,192,124,,9,115,0.93 ,93,0.75 ,63,0.51 ,54,0.44 ,1,0.01 ,1980,,
,,222,6,,0,6,1.00 ,3,0.50 ,2,0.33 ,2,0.33 ,0,0.00 ,0,,
,,223,8,,0,8,1.00 ,2,0.25 ,3,0.38 ,1,0.13 ,0,0.00 ,0,,
,,286,8,,0,8,1.00 ,4,0.50 ,4,0.50 ,4,0.50 ,0,0.00 ,0,,
,,530,6,,2,4,0.67 ,3,0.50 ,3,0.50 ,3,0.50 ,1,0.17 ,1980,,
,,汇总,153,,11,142,0.93 ,105,0.69 ,75,0.49 ,64,0.42 ,2,0.01 ,3960,,
,TMK短信,309-衢州耀晨,53,,0,53,1.00 ,45,0.85 ,35,0.66 ,31,0.58 ,0,0.00 ,0,,
,,323-杭州乐喻,27,,1,16,0.59 ,5,0.19 ,5,0.19 ,3,0.11 ,0,0.00 ,0,,
,,328-衢州耀晨,1,,0,1,1.00 ,1,1.00 ,1,1.00 ,1,1.00 ,0,0.00 ,0,,
,,329-衢州耀晨,1,,0,1,1.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,,
,,330-衢州耀晨,1,,0,1,1.00 ,1,1.00 ,1,1.00 ,1,1.00 ,0,0.00 ,0,,
,,380-祥峰丰-短信,2,,1,1,0.50 ,1,0.50 ,0,0.00 ,0,0.00 ,1,0.50 ,1980,,
,,478-锦囊互动,40,,12,28,0.70 ,21,0.53 ,19,0.48 ,17,0.43 ,1,0.03 ,1980,,
,,汇总,125,,14,101,0.81 ,74,0.59 ,61,0.49 ,53,0.42 ,2,0.02 ,3960,,
,SDK聚合,176,119,,1,118,0.99 ,35,0.29 ,16,0.13 ,11,0.09 ,0,0.00 ,0,,
,,506,2,,19,2,1.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,0.00 ,0,,
,,汇总,121,,20,120,0.99 ,35,0.29 ,16,0.13 ,11,0.09 ,0,0.00 ,0,,
,私域,69-太极养生,102,,21,81,0.79 ,55,0.54 ,29,0.28 ,20,0.20 ,0,0.00 ,0,,
,,70-太极养生,103,,9,94,0.91 ,74,0.72 ,25,0.24 ,25,0.24 ,0,0.00 ,0,,
,,汇总,205,0,30,175,0.85 ,129,0.63 ,45,0.22 ,45,0.22 ,0,0.00 ,0,,
