日期,渠道,H5id,全部客户,偷子,临时客户,加微客户,加微率,填写问卷人数,填写问卷率,导学课到课人数,导学课到课率,导学课完课人数,导学课完课率,转化人数,正价转化率,GMV,结算cac,ROI
,,汇总,272,,21,251,92.28%,150,55.15%,95,34.93%,64,23.53%,10,3.68%,19800,,
,TMK短信,309-衢州耀晨,57,,27,30,52.63%,52,91.23%,34,59.65%,29,50.88%,0,0.00%,0,,
,,323-杭州乐喻,41,,11,30,73.17%,17,41.46%,9,21.95%,6,14.63%,0,0.00%,0,,
,,328-衢州耀晨,8,,1,7,87.50%,2,25.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,330-衢州耀晨,6,,3,3,50.00%,5,83.33%,0,0.00%,0,0.00%,0,0.00%,0,,
,,380-祥峰丰-短信,265,,61,204,76.98%,129,48.68%,128,48.30%,107,40.38%,4,1.51%,6933,,
,,汇总,377,,103,274,72.68%,205,54.38%,171,45.36%,142,37.67%,4,1.06%,6933,,
,SDK聚合,176,17,,0,17,100.00%,9,52.94%,7,41.18%,3,17.65%,0,0.00%,0,,
,,汇总,17,,0,17,100.00%,9,52.94%,7,41.18%,3,17.65%,0,0.00%,0,,
,私域,460-学小教育,28,,7,21,75.00%,11,39.29%,7,25.00%,5,17.86%,1,3.57%,1980,,
,,汇总,28,,7,9,32.14%,11,39.29%,7,25.00%,5,17.86%,1,3.57%,1980,,
7.1-7.7,花骡直播,192,61,,6,55,90.16%,45,73.77%,22,36.07%,17,27.87%,3,4.92%,5940,,
,,222,10,,0,10,100.00%,7,70.00%,6,60.00%,5,50.00%,0,0.00%,,,
,,223,33,,0,33,100.00%,20,60.61%,19,57.58%,14,42.42%,1,3.03%,1980,,
,,汇总,104,,6,98,94.23%,72,69.23%,47,45.19%,36,34.62%,4,3.85%,7920,,
,TMK短信,309-衢州耀晨,45,,6,39,86.67%,43,95.56%,35,77.78%,32,71.11%,0,0.00%,0,,
,,323-杭州乐喻,66,,10,56,84.85%,36,54.55%,15,22.73%,12,18.18%,0,0.00%,0,,
,,328-衢州耀晨,1,,0,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,330-衢州耀晨,1,,0,1,100.00%,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,,
,,380-祥峰丰-短信,14,,3,11,78.57%,1,7.14%,5,35.71%,5,35.71%,0,0.00%,0,,
,,492-品动-TMK,106,,0,106,100.00%,29,27.36%,24,22.64%,20,18.87%,0,0.00%,0,,
,,495-品动-TMK,112,,1,111,99.11%,28,25.00%,32,28.57%,21,18.75%,0,0.00%,0,,
,,汇总,345,0,20,325,94.20%,138,40.00%,112,32.46%,91,26.38%,0,0.00%,0,,
,SDK聚合,176,13,,,,,,0.00%,,0.00%,,0.00%,,,,,
,,汇总,13,0,0,0,0,0,0.00%,0,0.00%,0,0.00%,0,0,0,,
,私域,0,,,,,,,,,,,,,,,,
7.8-7.14,花骡直播,162,1,,0,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,192,124,,9,115,92.74%,93,75.00%,63,50.81%,54,43.55%,1,0.81%,1980,,
,,222,6,,0,6,100.00%,3,50.00%,2,33.33%,2,33.33%,0,0.00%,0,,
,,223,8,,0,8,100.00%,2,25.00%,3,37.50%,1,12.50%,0,0.00%,0,,
,,286,8,,0,8,100.00%,4,50.00%,4,50.00%,4,50.00%,0,0.00%,0,,
,,530,6,,2,4,66.67%,3,50.00%,3,50.00%,3,50.00%,1,16.67%,1980,,
,,汇总,153,,11,142,92.81%,105,68.63%,75,49.02%,64,41.83%,2,1.31%,3960,,
,TMK短信,309-衢州耀晨,53,,0,53,100.00%,45,84.91%,35,66.04%,31,58.49%,0,0.00%,0,,
,,323-杭州乐喻,27,,1,16,59.26%,5,18.52%,5,18.52%,3,11.11%,0,0.00%,0,,
,,328-衢州耀晨,1,,0,1,100.00%,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,,
,,329-衢州耀晨,1,,0,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,330-衢州耀晨,1,,0,1,100.00%,1,100.00%,1,100.00%,1,100.00%,0,0.00%,0,,
,,380-祥峰丰-短信,2,,1,1,50.00%,1,50.00%,0,0.00%,0,0.00%,1,50.00%,1980,,
,,478-锦囊互动,40,,12,28,70.00%,21,52.50%,19,47.50%,17,42.50%,1,2.50%,1980,,
,,汇总,125,,14,101,80.80%,74,59.20%,61,48.80%,53,42.40%,2,1.60%,3960,,
,SDK聚合,176,119,,1,118,99.16%,35,29.41%,16,13.45%,11,9.24%,0,0.00%,0,,
,,506,2,,19,2,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,汇总,121,,20,120,99.17%,35,28.93%,16,13.22%,11,9.09%,0,0.00%,0,,
,私域,382-不大聪明,1,,0,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
,,汇总,1,,0,1,100.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,,
